time,low,high,open,close,volume
1486512000,1016.49,1069.95,1053.95,1056.7,6978.830719940289
1486425600,1021.75,1058.26,1022.65,1053.96,5492.408809010174
1486339200,1014.64,1027.7,1016.32,1022.58,4366.043600840099
1486252800,1003.02,1036.3,1035.54,1016.32,4621.391690860218
1486166400,1001.8,1044.12,1018.48,1035.54,4793.805226160177
1486080000,994.34,1024.5,1008.4,1018,6776.269718460516
1485993600,978.74,1010,992.75,1008.38,5728.2123807702965
1485907200,963.84,992.75,970.01,992.75,5993.6259664505915
1485820800,922.94,972.3,923.26,970.01,6732.2627866405155
1485734400,914.69,923.95,916.56,923.23,3621.5428620302564
1485648000,915,927.47,924.69,916.54,2592.343653750038
1485561600,921.81,925.5,922.89,924.98,2634.5379973900353
1485475200,911,924.47,917.02,922.63,3719.065485790279
1485388800,896,921.95,896.75,917.02,4718.0825334401825
1485302400,886.99,903.98,887,896,4535.1045761406085
1485216000,880,923,911.78,887,6401.7351526908
1485129600,910.63,931.33,929.45,910.7,4141.432273890001
1485043200,902,946.25,925.06,931.22,5044.143548010481
1484956800,891.28,930,894.31,925.06,4666.660888870592
1484870400,890,904.59,902.92,894.31,3110.5897419401144
1484784000,883.08,907,887.98,902.92,5070.184630010364
1484697600,850,916.7,906.09,887.99,6937.9865236510395
1484611200,830.1,909,834.4,906,7253.478570600862
1484524800,826.03,840,833.43,834.41,3428.7919304502357
1484438400,819,835,828,833.31,2941.915048620172
1484352000,822.34,847.52,831.42,828,4774.303775610864
1484265600,782.85,835.01,812.25,831.42,10492.633710022123
1484179200,734.64,840,795.8,812.25,13200.422875122655
1484092800,765,923.98,906.81,795.77,19443.396556898966
1484006400,899.01,915.1,902.66,907,7220.164360401221
1483920000,886.42,923.58,922.04,902.66,5909.578121671005
1483833600,899.16,953.8,908.99,923.33,5410.00349909092
1483747200,802.07,910,895.78,909,11215.102851714755
1483660800,875.01,1033.85,1007,895.71,14262.504267053358
1483574400,880,1175,1131.1,1007,20446.395615455913
1483488000,1018,1147,1020.69,1130.3,16222.230266662476
1483401600,1006.71,1036.99,1011.52,1020.67,8614.250058141019
1483315200,990.52,1034.39,992.96,1011.45,7723.6357516213975
1483228800,964.37,1000,973.37,992.95,4421.502882830236
1483142400,949,973.37,961.52,973.37,3837.2878859201437
1483056000,930.3,970.51,970.51,960.81,7945.763020170963
1482969600,950.5,988.88,982.25,970.72,8997.85901622074
1482883200,923.95,983.46,925.28,982.17,9792.326831291055
1482796800,895,943.36,902.08,925.2,6719.939131020398
1482710400,890,908.24,895.94,902.09,3297.8967550901234
1482624000,851.11,897.4,891.59,896.12,5380.147456590607
1482537600,880.1,918.19,917.28,891.5,6458.029766820384
1482451200,855.45,918.5,856.45,917.26,12735.174210920679
1482364800,832.38,875.75,834.15,856.02,8778.210640870719
1482278400,798.88,834.5,798.98,834.5,8432.750649590767
1482192000,788.58,799.21,791,798.99,5925.200601270307
1482105600,789,794.99,790.71,790.81,5496.383811270394
1482019200,787.19,791.96,788.98,790.72,2847.04584841997
1481932800,779.5,791.97,780.85,788.57,4364.330370910006
1481846400,774.8,785,776.16,780.98,5719.662389070181
1481760000,775,780,777.66,776.16,5927.487861359853
1481673600,773.2,781.8,776.65,777.66,4486.584603050078
1481587200,772.76,790.34,779.26,776.18,5414.740744790225
1481500800,770.88,782,771.05,778.94,4390.036898710013
1481414400,765,776.08,776.05,771.05,3105.0920125400157
1481328000,770,776.99,773.15,775.87,3365.899261469984
1481241600,765.97,773.22,767.9,773.22,3932.480592770137
1481155200,761.71,772.82,764.34,767.89,4839.3282776902215
1481068800,750.26,768.9,759.93,764.34,4572.320140760149
1480982400,752,761.58,752.01,759.8,4499.073551330071
1480896000,748.6,767.99,767.94,752,4823.7310266100985
1480809600,762.83,769.76,766.86,767.99,2759.912570430032
1480723200,759,771.92,769.78,766.98,3180.0820534200843
1480636800,753.53,780,754,769.25,6041.03445262022
1480550400,741.59,754.9,742.51,754,4190.189911650058
1480464000,729.17,745,732.44,742.69,3949.9028758500567
1480377600,728.2,734.36,730.18,732.37,3807.4625890600105
1480291200,729,736.44,729.24,729.77,3864.893590810039
1480204800,728.01,737.95,735.69,729.24,2682.6616626400573
1480118400,726,739.98,739.51,735.7,2706.7752955100464
1480032000,729,739.99,737.99,739.74,3157.806106630034
1479945600,727,743.99,741.51,737.99,3472.60090380011
1479859200,734,747.12,746.66,741.52,3626.956521390109
1479772800,726.38,748.77,736.39,746.66,4276.841576500143
1479686400,730,738.47,731.72,736.4,2984.9436579200806
1479600000,715,753.81,750.77,731.99,4322.125036030085
1479513600,738,752.3,748.55,750.77,2953.711108239922
1479427200,728.89,751,729.61,748.54,4633.637145540334
1479340800,729.01,750.01,738.07,730.71,4171.453534250051
1479254400,710,743.8,711.92,739.85,6194.458275440279
1479168000,671.23,716.3,708.4,712.29,4793.812483509847
1479081600,695.07,708.57,704.01,708.32,4818.7533488098625
1478995200,685.7,705.94,704.63,704.01,4207.775868060126
1478908800,702.42,716.99,716.56,704.53,3130.2205721301166
1478822400,712.5,718.99,713,716.9,3363.9157749600427
1478736000,705.84,723.61,721,712.91,4441.883912560166
1478649600,710.05,747.26,711.3,720.97,12022.233209680944
1478563200,704.16,716.45,706.41,711.15,4358.979482880129
1478476800,701.35,717.32,717.04,706.42,4168.787363420115
1478390400,705.86,719.83,706.98,717.02,3013.17627869007
1478304000,697.72,707.99,706.05,706.99,2999.2145801700203
1478217600,683.8,708.33,690,706.32,5229.219946030297
1478131200,672.06,746.16,744.61,690,10331.349638331234
1478044800,720,744.6,730.7,744.6,5095.7508538003385
1477958400,695.74,737.5,697.07,730.7,6909.181965620536
1477872000,681.01,709.68,697.39,696.9,4474.837054700215
1477785600,692.04,714.98,714.28,697.41,3799.5223560901973
1477699200,689.39,725.64,689.95,714.28,6583.498968920336
1477612800,683.2,691.19,691.01,689.95,4409.986540010087
1477526400,673.54,692.41,674,691.21,6771.853747680545
1477440000,652.51,678,654.3,674,5843.13706554051
1477353600,648.99,657.5,649.98,654.3,4814.888391720746
1477267200,645.81,652.93,651.05,649.98,3670.4714184806926
1477180800,645.33,655.8,653.03,651.04,3075.7395670905335
1477094400,629.32,658,630.67,652.75,4585.374521200466
1477008000,627.5,633.41,628.19,630.83,4162.769850480395
1476921600,626.01,629.99,629.79,628.05,4170.466267030606
1476835200,625.6,636.99,635.12,629.79,4465.148288340749
1476748800,632.15,640,639.56,635.11,4122.092098190336
1476662400,636.27,643.47,642.1,639.56,3950.231670830638
1476576000,637.87,643.91,638.16,641.92,2544.927687390232
1476489600,636,639.99,638.03,638.16,683.7980709199925
1476403200,624.08,639.99,635.8,638.03,4365.823113050772
1476316800,632,639.85,635.9,635.66,3829.2278118506397
1476230400,631.91,643.58,642.3,635.79,4334.37542579055
1476144000,618.13,647.03,618.72,642.12,6316.467361330814
1476057600,615.46,619.2,617.43,618.72,3896.5958263701887
1475971200,617,619.59,619.46,617.42,2329.86207733998
1475884800,617.55,620,618.11,619.5,2793.955353610085
1475798400,609.89,618.7,611.78,617.98,5119.988899540167
1475712000,610.3,613.39,613.16,611.88,3920.0753158301036
1475625600,609.22,614.24,610.33,613.16,4454.403695020285
1475539200,606.93,613.23,612.99,610.34,5060.863127890247
1475452800,610.7,615.24,612.42,612.99,4436.782815050114
1475366400,608.66,615.9,615.65,612.4,2911.8918914000196
1475280000,608.98,617.19,608.99,615.65,3480.015939110106
1475193600,605,608.99,605.99,608.99,4626.819369930345
1475107200,603.56,606.89,604.96,605.99,4106.824056280415
1475020800,603.18,606,605.71,605.04,3710.012072200347
1474934400,601.38,607.54,607.04,605.71,4345.51888885033
1474848000,600.02,607.99,601.67,607.08,4292.32724007017
1474761600,599.42,605.99,603.69,601.67,2577.1787041400457
1474675200,601.08,605.94,602.96,603.68,2646.4975975500283
1474588800,595.14,603.3,595.99,602.96,3759.023690700105
1474502400,594.78,598.54,597,596.21,3998.4060101400946
1474416000,592.63,605.6,605.6,597,4885.897040590342
1474329600,605.6,609.92,608.6,605.6,4601.032848670072
1474243200,607.4,612.46,611.4,608.6,3096.4685379201233
1474156800,607.22,611.93,607.92,611.4,3091.4551330406875
1474070400,604,608.99,607.95,607.92,2942.64908837019
