time,low,high,open,close,volume
1461751200,466.04,467.78,466.32,467.72,133.30639504000038
1461747600,466.08,467.91,467.73,466.34,237.69914347999966
1461744000,467.73,470.06,470.04,467.73,167.5077667200018
1461740400,469.79,470.2,470.15,470.05,224.8589619500001
1461736800,469.75,470.2,469.75,470.17,135.3062112300003
1461733200,468.38,469.76,468.79,469.76,153.09289740000008
1461729600,466.05,469.28,466.55,468.8,170.67082106999928
1461726000,464.01,469.6,468.18,466.64,636.0757743099928
1461722400,467.7,469.49,469.49,468.18,289.66490199999873
1461718800,468.21,470.39,469.89,469.49,398.376775029999
1461715200,469.42,470.79,470.3,469.89,329.0292769599987
1461711600,469.11,470.79,469.93,470.59,369.21636955999764
1461708000,469.79,470.64,469.85,470.01,217.9130909799993
1461704400,469.79,472.11,471.25,469.96,419.9760694799979
1461700800,469.79,471.92,471,471.33,614.4040547399964
1461697200,469.49,471.37,469.5,471,245.36578414000024
1461693600,467.73,472,469.2,469.5,777.2214470199996
1461690000,468.82,470,469.45,469.2,446.4053470899987
1461686400,467.55,470,468.38,469.51,323.14353783999985
1461682800,467.3,469.5,467.35,468.39,373.4348180999959
1461679200,466.99,469,467.68,467.4,425.18646698000197
1461675600,464.62,467.72,465.04,467.72,371.02310359999984
1461672000,464.01,465.84,465.07,465,304.54123682999926
1461668400,465.02,466.67,466.65,465.1,220.8556629900002
1461664800,466.49,467.84,467.55,466.65,210.54384062999702
1461661200,466.86,467.75,467.58,467.53,177.60225242999874
1461657600,467.56,468.93,468.7,467.56,108.47588204000023
1461654000,468.18,468.7,468.32,468.7,124.77931810000038
1461650400,468.31,468.96,468.86,468.36,176.68589859999906
1461646800,467.72,469,467.76,468.84,180.1922517499997
1461643200,467.75,468.89,468.11,467.77,127.66035719000021
1461639600,467.75,469,468.87,468.35,278.1777736399996
1461636000,466.75,469.08,468.44,468.94,259.25356450999953
1461632400,466.14,468.63,467.7,468.63,353.5857897399953
1461628800,465.61,468.37,466.17,467.77,365.47164379000054
1461625200,465.05,468.92,468.9,466.17,409.53479741999917
1461621600,466.1,472.38,470.19,468.9,877.7013765699934
1461618000,467.93,470.77,468.5,470.22,605.0453706099993
1461614400,465.49,468.83,465.71,468.5,829.2573292299975
1461610800,465.06,466.3,465.99,465.62,463.8413420199955
1461607200,464.02,466.1,464.26,465.99,420.81971775999847
1461603600,464.2,466.76,464.99,464.53,581.1432646300016
1461600000,462.81,464.99,463.8,464.99,257.45166967000006
1461596400,461.72,463.9,462.5,463.8,286.17856764999595
1461592800,460.3,464.34,460.31,462.26,777.9624276499962
1461589200,458.26,460.99,459.71,460.44,334.2244060399995
1461585600,454.65,460.24,460.01,459.71,583.3449123599987
1461582000,460,462.13,461.88,460.01,227.76002260999977
1461578400,461.2,464.62,464.56,461.72,247.3379139599998
1461574800,463.19,466.23,463.19,464.54,392.4702801299911
1461571200,461.76,463.28,462.04,463.28,255.81050156
1461567600,461.51,462.5,461.82,462,93.79644575000012
1461564000,461.82,463.88,462.75,461.82,168.49725779000053
1461560400,462.72,464.95,464.7,462.75,94.79286619000102
1461556800,461.51,464.81,461.54,464.66,197.7948507899996
1461553200,461.51,464.5,464.47,461.51,364.86502470999676
1461549600,463.7,464.76,464.02,464.48,360.9053835899956
1461546000,464.01,466.3,465.52,464.01,307.67544481999715
1461542400,464.16,466.23,464.47,465.52,353.5217750199973
1461538800,463.31,464.83,463.79,464.46,215.7139276699995
1461535200,461.76,463.93,462.3,463.79,272.54602050999944
1461531600,462,464.94,464.94,462.31,452.8369409199969
1461528000,463.09,465,464.91,464.94,398.96813562999176
1461524400,457.83,464.99,458.1,464.91,838.2418395599973
1461520800,457.36,458.25,457.48,458.25,193.28164862
1461517200,457.36,458.12,457.67,457.47,186.9528867899999
1461513600,456.06,458.06,456.89,457.57,259.88892279999885
1461510000,454.55,456.91,455,456.77,127.94590308000039
1461506400,454.77,458.54,458.51,454.77,310.241748479998
1461502800,457.95,459.07,459.05,458.51,139.2218806699999
1461499200,457.4,459.51,457.85,459.07,152.68188791000054
1461495600,457.53,458.78,458.76,457.87,93.40544597000012
1461492000,458.74,459.86,459.77,458.76,129.87159931000116
1461488400,459.56,460,459.86,459.77,141.68956246000033
1461484800,458.45,459.88,458.45,459.88,99.82731989000048
1461481200,458.03,458.61,458.46,458.46,86.09219411000012
1461477600,457.66,458.56,457.69,458.47,89.06061362000025
1461474000,456.5,459.5,459.27,457.69,352.1815627999978
1461470400,458.48,459.54,458.49,459.27,159.65789209000027
1461466800,457.34,458.49,457.68,458.49,233.43740571
1461463200,457.09,458.63,458.61,457.68,176.5610009500011
1461459600,458.08,460,458.34,458.61,626.2372611399912
1461456000,454.71,458.8,455.68,458.3,450.980176509998
1461452400,453.58,455.84,454.87,455.69,216.60504369000049
1461448800,451.06,455.69,451.92,454.87,576.4860781499951
1461445200,450.57,452.73,450.96,451.71,356.169799729996
1461441600,450,451.01,450.61,450.96,229.93620253999927
1461438000,450.09,451,450.98,450.61,172.74609254000035
1461434400,450.78,451.65,451.34,450.99,153.92630117000095
1461430800,450.76,451.79,450.94,451.34,254.2298899999996
1461427200,450.55,451.47,451.01,451.03,210.71893758999877
1461423600,450.34,451.08,451.07,451.05,168.46536173000064
1461420000,449.4,451.3,450.99,451.07,274.36534102999605
1461416400,450.4,451.27,451.18,450.96,169.93078125000042
1461412800,450.07,451.3,450.34,451.17,172.24518116999957
1461409200,449.66,450.5,449.96,450.34,99.10162200000062
1461405600,447.03,450,447.71,449.96,134.64188369000138
1461402000,447.22,447.89,447.6,447.77,31.146857039999997
1461398400,447.43,447.9,447.89,447.43,99.5803435500001
1461394800,447.66,448.04,447.68,447.86,57.08825656000001
1461391200,447.55,448.59,448.5,447.56,75.44117316999996
1461387600,447.56,448.72,448.6,447.81,157.20213736000045
1461384000,448.16,448.8,448.68,448.51,164.25325678999957
1461380400,447.9,448.88,448.33,448.77,231.1688476099992
1461376800,448.06,449.6,449.58,448.33,189.129085389999
1461373200,449.51,450.14,449.74,449.59,181.86536820999962
1461369600,448.57,450.34,448.57,449.73,241.62331706999834
1461366000,448.02,449.03,448.02,448.41,150.24788605000032
1461362400,447.63,448.34,448.28,448.06,236.55586139999838
1461358800,447.47,449.87,449.57,448.28,257.7599086099984
1461355200,448.77,450.8,450.66,449.56,482.9685638399915
1461351600,449.5,451.03,449.55,450.64,482.80210393999425
1461348000,448.72,449.67,449.09,449.66,426.21067301999113
1461344400,448.5,449.71,448.58,448.98,331.253062309994
1461340800,447.13,449.24,448.35,448.66,361.1924603699991
1461337200,446.77,448.66,447.17,448.41,275.946258899998
1461333600,445.58,447.35,446.99,447.35,313.10088385999467
1461330000,446.6,447.99,447.98,446.99,186.55752128999998
1461326400,447.99,448.88,448.53,447.99,231.5161360399986
1461322800,447.35,448.8,448.39,448.61,172.40084817000078
1461319200,447.32,448.6,448.09,448.28,170.43641735999958
1461315600,447.58,448.97,448.07,448.09,74.03559363999987
1461312000,447.56,448.52,447.56,448.21,145.08218101000003
1461308400,445.24,447.59,446.28,447.5,201.85250667999978
1461304800,446.26,448.09,447.01,446.26,231.54994874000027
1461301200,445.07,448.27,448.27,447.03,282.5881553699993
1461297600,447.99,449.23,448.61,448.27,249.35407338999858
1461294000,447,448.87,448.05,448.64,351.865644889999
1461290400,447,449.47,447.16,448.03,446.3951902599973
1461286800,447.02,450.87,450.4,447.02,485.71791017999703
1461283200,449.99,452.95,452.25,450.41,267.3525981200003
1461279600,451.33,453,451.39,452.25,376.32141254999743
1461276000,450.53,453.8,450.83,451.25,670.5907386599938
1461272400,450.39,451.72,451.54,450.89,486.63767066999793
1461268800,449.59,452.18,449.59,451.48,752.6287028199954
1461265200,447.78,449.63,447.83,449.59,375.4788988499981
1461261600,447.26,448.94,448.16,447.88,574.6312533099945
1461258000,445.1,449.42,445.2,448.18,754.9610732799944
1461254400,444.12,445.22,444.46,445.2,314.8157489100001
1461250800,443.82,445.15,443.84,444.31,282.73570932999945
1461247200,443.05,444.32,443.37,443.83,327.05930734999913
1461243600,442.86,444,442.92,443.45,270.5737350999985
1461240000,442.67,443.81,443.72,442.91,133.97965126000028
1461236400,443.01,443.98,443.01,443.72,140.77142731000004
1461232800,442.13,443.01,442.98,443.01,152.1374471600006
1461229200,442.8,443,442.94,443,65.77016272999997
1461225600,442.19,443,442.99,442.9,107.02136675000041
1461222000,442.18,443.3,442.18,443,90.65676088000006
1461218400,441.99,445,444.99,442.09,269.9074102499984
1461214800,444.14,445,444.29,444.95,210.1939706999997
1461211200,444.22,446.47,445.47,444.53,260.65338870999966
1461207600,444.01,445.55,444.48,445.5,206.4531376300003
1461204000,444.01,446.32,445.66,444.48,285.5489663899987
1461200400,442.9,445.75,443.17,445.75,274.32519469000033
1461196800,442.11,443.17,442.87,443.17,309.57787331999947
1461193200,441.86,443.13,442.76,442.96,290.83997074999843
1461189600,442.12,444.07,442.15,442.72,442.2868018699989
1461186000,441.16,444.01,443,442.11,545.1475477799953
1461182400,441.09,443.01,441.26,442.99,407.01037132999755
1461178800,440.5,441.52,440.9,441.37,396.3594044499985
1461175200,440.75,443,442.76,440.9,576.5886448699985
1461171600,442,443.45,442.21,442.76,526.0515245999978
1461168000,439.21,442.3,440,442.2,574.2224337299923
1461164400,437.82,440,438.16,439.99,358.268470349999
1461160800,437.34,438.4,437.44,438.09,210.3994305499998
1461157200,436.79,437.49,437.27,437.45,269.1033067299992
1461153600,436.44,437.42,437.13,437.29,195.45239769999955
1461150000,436.27,437.68,436.9,437.17,216.73268345999932
1461146400,436.65,437.49,437.16,436.85,196.52921846000004
1461142800,436.8,437.5,437.32,437.14,125.03895382000017
1461139200,437.3,438,437.53,437.32,146.80083733000023
1461135600,437.28,437.89,437.5,437.44,185.89063278000006
1461132000,437,438.25,438.02,437.5,226.0508771000001
1461128400,437.59,438.26,438,438.03,158.78142046000048
1461124800,437.06,438,437.49,438,169.89024999999978
1461121200,436.63,438,436.8,437.53,228.8165018800026
1461117600,436.27,437,436.99,436.81,254.29072834
1461114000,436.32,437.34,437.3,436.95,229.21891859000002
1461110400,436.17,437.33,437.06,437.28,221.18536835000012
1461106800,434.92,438.2,434.93,437.06,733.6887815199906
1461103200,432.23,434.93,432.63,434.93,538.2658115199931
1461099600,432.54,432.9,432.9,432.63,217.38320741999982
1461096000,431.15,432.9,431.42,432.9,392.55337924999856
1461092400,430.29,431.6,431.06,431.34,449.3048926699988
1461088800,430.63,431.2,431.1,431.06,185.68045726999964
1461085200,430.46,431.16,430.75,431.09,214.48991608999967
1461081600,430.3,430.75,430.44,430.75,265.52092937999964
1461078000,429.22,430.5,430.21,430.4,282.1661029499986
1461074400,429.9,430.43,430.23,430.23,221.15138517000005
1461070800,430.06,430.69,430.68,430.29,209.76963317
1461067200,429.95,430.69,430.3,430.69,220.48194124999898
1461063600,429.6,430.45,430.04,430.26,208.83364177999903
1461060000,429.76,430.63,429.9,430.07,145.04114950000067
1461056400,429.84,430.08,430.08,429.9,89.65477095000027
1461052800,429.88,430.09,430.02,430.08,117.29524533000023
1461049200,430.02,432.5,432.01,430.02,278.65323746000064
1461045600,431.51,432.41,432.2,431.88,142.54434329000009
1461042000,430.88,432.35,431.07,432.2,123.49747923000123
1461038400,430.34,431.29,430.78,431.08,209.15150879999976
1461034800,430.53,431.26,431.26,430.78,252.55111653999973
1461031200,431.04,431.7,431.2,431.29,239.89226984999988
1461027600,430.57,431.31,430.6,431.18,269.17575823000004
1461024000,430.34,431.29,430.9,430.69,219.8483221099993
1461020400,429.1,431.16,429.5,430.97,311.7117237299991
1461016800,428.97,429.75,429.74,429.51,295.93820753999927
1461013200,429.22,430,429.99,429.73,296.64291471999917
1461009600,429.21,430,429.6,429.99,284.9944108399993
1461006000,429.53,430.37,430.21,429.54,304.4662471699998
1461002400,429.27,430.26,429.39,430.26,292.33900000000006
1460998800,428.78,429.4,428.96,429.38,222.3056559099995
1460995200,428.69,429.94,429.09,429,298.0180823199996
1460991600,428.97,429.88,429.66,429.09,312.9762103499993
1460988000,429.22,430.29,429.39,429.52,200.33242105999963
1460984400,428.44,429.5,429.41,429.26,330.2165292099994
1460980800,429,430.17,430.16,429.41,279.2046291599989
1460977200,430.1,430.65,430.39,430.16,140.74052636000013
1460973600,429.88,430.92,430.08,430.39,192.41252034999965
1460970000,429.89,430.55,430.38,430.08,89.72778639000008
1460966400,430.2,430.53,430.36,430.37,183.48498919999983
1460962800,430.36,433.78,433.75,430.36,188.43009892999999
1460959200,433.39,434.46,434.11,433.7,103.90078032000052
1460955600,431.88,434.22,433.46,434.03,81.24995131000051
1460952000,430.64,433.5,432.5,433.3,224.33156805999775
1460948400,431.55,432.5,431.61,432.49,138.61487723000027
1460944800,431.29,431.81,431.55,431.81,205.89354329999995
1460941200,430.5,431.6,431.32,431.6,177.3945014999999
1460937600,430.59,431.61,431.08,431.42,121.99403110000014
1460934000,430.05,431.28,430.4,431,117.87515203000021
1460930400,429.15,430.49,430.36,430.37,264.69244845999947
1460926800,430.18,431.54,431.54,430.18,214.6111186500002
1460923200,430.7,431.63,431.63,431.54,146.08301529000028
1460919600,430.6,431.75,430.9,431.63,150.26839678000007
1460916000,429.91,431.58,431.27,430.93,248.4558267399995
1460912400,430.7,431.72,431.71,431.27,151.66940593000007
1460908800,430.54,431.79,431.42,431.79,140.81732223000003
1460905200,430.65,431.93,431.8,431.3,108.95939747000017
1460901600,430.09,432.2,430.75,431.7,100.27537606000051
1460898000,430.09,432.99,432.98,430.09,144.72986144000046
1460894400,432.47,434.83,434.77,432.98,241.12260319999996
1460890800,433.11,434.93,434.45,434.75,92.28196212000103
1460887200,433.31,434.54,434.19,434.46,108.94103024000094
1460883600,433.81,434.92,434.89,434.19,120.54616949999951
1460880000,434.49,434.89,434.49,434.88,33.42050938000006
1460876400,433.54,434.55,433.84,434.49,50.02370750000011
1460872800,433.52,433.99,433.66,433.97,60.18058918999982
1460869200,433.13,433.76,433.68,433.68,127.85592205000047
1460865600,433.51,434.05,433.76,433.69,98.71894581000016
1460862000,433.54,434.11,434,433.92,114.18718332000023
1460858400,433.42,434.2,433.82,434,106.43513366000045
1460854800,433.45,433.91,433.66,433.79,150.37762596000016
1460851200,433.12,433.83,433.69,433.55,207.16525495999943
1460847600,433.13,433.83,433.8,433.39,137.09932102000053
1460844000,433.23,433.84,433.68,433.83,151.24445867999978
1460840400,433,434.11,433.28,433.68,160.23915491000014
1460836800,432.02,433.3,432.91,433.3,153.0347337400002
1460833200,431.92,433,432.66,432.61,297.374372029997
1460829600,432.2,432.67,432.23,432.67,155.00617334000006
1460826000,431.4,432.53,431.83,432.23,196.8133232699999
1460822400,431.29,432.19,431.81,431.87,144.56093431999994
1460818800,430.94,432.14,431.63,431.83,214.2583705999997
1460815200,429.89,431.73,430.89,431.69,213.51901423999965
1460811600,430,431.23,431.08,430.93,186.9195539999998
1460808000,430.78,432.58,432.46,431.08,205.26188170999984
1460804400,432.36,433.53,433.07,432.36,72.84744812000027
1460800800,432.96,434.24,434.14,433.09,139.35439186000053
1460797200,433.27,434.72,433.6,434.01,49.66057323000027
1460793600,433.15,434.89,434.88,433.59,132.18782688999985
1460790000,433.5,434.88,433.72,434.88,218.6797576199999
1460786400,432.43,433.73,432.7,433.73,288.883732159996
1460782800,431.8,432.87,431.84,432.63,192.15128945000052
1460779200,431.35,431.98,431.55,431.82,185.8841860499997
1460775600,430.98,431.56,431.03,431.56,122.2865519100002
1460772000,430.62,431.1,430.92,430.93,167.63038054999996
1460768400,430.53,431.09,430.93,430.93,175.08553618999983
1460764800,430.61,431.12,430.82,430.93,174.0030209300008
1460761200,430.06,430.96,430.2,430.93,160.52012338999987
1460757600,429.57,430.37,430.32,430.29,336.72712905999754
1460754000,430.14,431.1,430.99,430.14,346.92536564999904
1460750400,430.47,431,430.75,431,217.99669975000083
1460746800,430.54,431.05,430.89,430.75,250.4127293200015
1460743200,429.42,430.99,429.88,430.89,289.95693005000015
