time,low,high,open,close,volume
1463774400,14.15,14.17,14.15,14.17,28.16661711
1463760000,13.91,13.91,13.91,13.91,10
1463756400,13.71,13.72,13.72,13.71,200
1463702400,14.82,14.82,14.82,14.82,16
1463698800,14.89,14.9,14.89,14.9,600.95230907
1463695200,14.83,14.83,14.83,14.83,0.1
1463688000,14.34,14.35,14.34,14.35,20
1463684400,14.05,14.34,14.33,14.34,24.33839295
1463677200,14.13,14.18,14.13,14.18,1.7940627500000002
1463673600,14.15,14.19,14.15,14.19,100
1463644800,14.1,14.27,14.27,14.1,201.00000000000006
1463616000,13,13.18,13.18,13.18,2.25644046
1463612400,13.13,13.18,13.13,13.18,192.02915723
1463608800,13.11,13.13,13.11,13.13,7.59784148
1463605200,13.08,13.13,13.08,13.13,2
1463598000,13.03,13.51,13.04,13.51,90.09999999999998
1463594400,13.05,13.51,13.27,13.51,166.91076683
1463590800,13.6,13.6,13.6,13.6,0.36673023
1463536800,14,14,14,14,0.052
1463533200,14,14.1,14,14.1,15.46248324
1463529600,12.5,14.93,12.5,13,8.00284753
1464991200,13.8,13.91,13.85,13.81,406.86591953
1464987600,13.78,13.9,13.78,13.8,127.09383112
1464984000,13.78,13.98,13.93,13.78,536.86014086
1464980400,13.75,13.99,13.85,13.8,1087.42098321
1464976800,13.65,13.9,13.65,13.9,148.36146086999997
1464973200,13.52,13.9,13.74,13.6,1136.8215929100002
1464969600,13.49,13.9,13.8,13.74,2698.6856304800003
1464966000,13.6,13.96,13.66,13.63,694.56177582
1464962400,13.65,13.99,13.86,13.74,554.11949113
1464958800,13.77,14.02,13.8,13.85,710.4335353500003
1464955200,13.75,13.95,13.85,13.77,383.67358362
1464951600,13.66,13.85,13.66,13.85,16.423023039999997
1464948000,13.64,13.87,13.87,13.76,50.001160289999994
1464944400,13.64,14.03,14.02,13.64,653.15593694
1464940800,13.79,14.04,13.86,13.79,396.42066943000003
1464937200,13.86,14.01,13.86,13.86,21.7717054
1464933600,13.85,14.05,14.03,14.05,350.04750936
1464930000,13.95,14.08,14.04,13.98,112.31418191
1464926400,13.89,14.03,14,14.03,115.20000000000002
1464922800,13.9,14.04,14.04,14.01,946.79883559
1464919200,14,14.05,14.05,14.05,777.5346711400001
1464915600,14.03,14.06,14.06,14.05,23.6376649
1464912000,14.02,14.12,14.03,14.06,962.4736380799998
1464908400,14.02,14.13,14.13,14.03,61.36042057
1464904800,14.02,14.14,14.14,14.13,390.21654709999996
1464901200,14.02,14.16,14.13,14.02,684.3092837499998
1464897600,14,14.15,14.1,14.15,90.71991485
1464894000,13.97,14.15,14.14,14.1,216.36309593999997
1464890400,13.98,14.15,13.99,14.13,802.73411955
1464886800,14,14,14,14,374.55840188999997
1464883200,13.97,14,13.97,14,144.59361867
1464879600,13.95,14.04,14.02,13.99,236.18310053999997
1464876000,13.91,14.12,14,13.99,254.40961027
1464872400,13.9,14.11,13.9,14.1,4.84596782
1464868800,13.99,14.13,14,14.12,736.3245790800001
1464865200,13.82,14,13.89,14,202.00893005999998
