time,low,high,open,close,volume
1486512000,3.91,4.06,3.98,3.97,12258.99693194
1486425600,3.94,4.02,3.96,3.98,15502.573637909998
1486339200,3.94,4.02,3.97,3.96,1658.0732256300005
1486252800,3.91,4.03,4.03,3.99,1445.03371702
1486166400,3.94,4.05,4.05,4.03,3032.663675580001
1486080000,3.91,4.12,4.09,4.03,3821.3694322299975
1485993600,3.97,4.11,4.07,4.1,4410.216427789984
1485907200,3.95,4.15,4.08,4.08,4314.562145079996
1485820800,4.03,4.19,4.09,4.09,8596.579694860005
1485734400,3.83,4.09,3.88,4.08,6028.98498707
1485648000,3.84,3.9,3.89,3.88,460.63303100000013
1485561600,3.85,3.9,3.89,3.88,739.6010581599996
1485475200,3.79,3.96,3.85,3.9,4270.051074619998
1485388800,3.68,3.98,3.69,3.85,5427.00316018
1485302400,3.65,3.81,3.72,3.69,3286.03867809
1485216000,3.73,3.89,3.82,3.73,3713.1153746999985
1485129600,3.83,3.92,3.88,3.83,1251.1231994999996
1485043200,3.85,3.97,3.92,3.87,1766.4423415200001
1484956800,3.89,3.93,3.89,3.92,620.6920208199998
1484870400,3.86,3.95,3.9,3.88,892.6480334300006
1484784000,3.83,3.96,3.88,3.89,3078.5001914199997
1484697600,3.81,3.95,3.95,3.88,2325.9725537000013
1484611200,3.87,4.16,3.88,3.95,1796.8913059099998
1484524800,3.88,3.98,3.97,3.88,277.4807386499999
1484438400,3.95,4.1,4.01,3.97,1496.63730284
1484352000,3.92,4.25,3.97,4.01,1902.319150269998
1484265600,3.9,4.05,4.03,3.96,729.5956293099996
1484179200,3.79,4.14,4,4.06,5924.210409330004
1484092800,3.93,4.68,4.59,3.99,2430.55468479
1484006400,4.04,4.75,4.29,4.67,2519.5581966600002
1483920000,3.89,4.4,4.03,4.39,2350.5289693200007
1483833600,3.99,4.4,3.99,4.03,662.7488101399999
1483747200,3.66,4.49,3.89,3.99,3236.49203801
1483660800,3.83,4.39,4.24,3.88,2260.6242271700003
1483574400,3.88,4.88,4.88,4.24,6953.20469822999
1483488000,4.45,5.99,4.54,4.62,8953.385640120006
1483401600,4.42,4.65,4.56,4.54,1600.82097023
1483315200,4.4,4.9,4.47,4.62,5942.104030109999
1483228800,4.34,4.57,4.37,4.43,3108.3922622
1483142400,4.28,4.48,4.39,4.36,1399.9190423300001
1483056000,4.21,4.69,4.67,4.35,426.94785599000033
1482969600,4.4,5,4.56,4.68,1370.340903939999
1482883200,4.3,4.6,4.33,4.53,1945.503790969999
1482796800,4.18,4.52,4.25,4.34,1164.89226659
1482710400,4.13,4.37,4.3,4.27,471.8853993800002
1482624000,4.08,4.49,4.37,4.3,2399.396129169999
1482537600,4.2,5.14,4.6,4.47,5627.163113360006
1482451200,3.65,4.61,3.68,4.61,6043.758963129999
1482364800,3.62,3.88,3.65,3.69,2625.4112303200004
1482278400,3.62,3.91,3.64,3.64,1395.81833929
1482192000,3.61,3.69,3.66,3.64,117.18351498
1482105600,3.61,3.71,3.69,3.66,69.12426953
1482019200,3.62,3.73,3.69,3.62,270.1101902099999
1481932800,3.6,3.72,3.63,3.71,205.37144809999995
1481846400,3.56,3.68,3.64,3.64,178.68912666
1481760000,3.5,3.7,3.64,3.5,313.69703983
1481673600,3.6,3.66,3.62,3.6,278.3331472599999
1481587200,3.62,3.68,3.66,3.62,13.075736
1481500800,3.62,3.69,3.66,3.64,247.36596667
1481414400,3.61,3.7,3.65,3.67,51.11429299999999
1481328000,3.63,3.72,3.7,3.7,62.14280756000001
1481241600,3.61,3.74,3.69,3.74,260.47930951000006
1481155200,3.63,3.77,3.65,3.65,1824.5135748999985
1481068800,3.49,3.86,3.52,3.65,1148.4023240000001
1480982400,3.42,3.56,3.47,3.52,192.57790562
1480896000,3.32,3.88,3.88,3.5,4950.771249810001
1480809600,3.86,3.92,3.89,3.87,158.26203601000003
1480723200,3.87,3.9,3.89,3.9,100.42959527000001
1480636800,3.87,3.94,3.89,3.91,405.94085679000034
1480550400,3.84,3.89,3.88,3.88,175.47655785
1480464000,3.51,3.98,3.83,3.85,1834.4867801300038
1480377600,3.81,3.91,3.84,3.82,723.312160279998
1480291200,3.81,3.92,3.89,3.84,976.9463069400002
1480204800,3.82,3.89,3.88,3.88,149.15449701999995
1480118400,3.81,3.91,3.91,3.86,1259.4609764700012
1480032000,3.85,3.91,3.89,3.9,172.33157341999987
1479945600,3.86,3.93,3.89,3.9,190.51390208
1479859200,3.86,3.97,3.93,3.9,334.49328894
1479772800,3.88,3.99,3.93,3.9,873.2172261900002
1479686400,3.87,3.93,3.88,3.93,130.56804247000002
1479600000,3.86,3.99,3.94,3.89,164.18827039999994
1479513600,3.85,3.99,3.88,3.92,256.35493303
1479427200,3.85,3.95,3.86,3.87,385.55795146999975
1479340800,3.81,3.96,3.94,3.86,2422.795641189997
1479254400,3.86,4.06,3.93,3.94,2465.7698270200012
1479168000,3.84,3.96,3.86,3.92,733.2339301500003
1479081600,3.81,3.91,3.85,3.86,454.16813561000004
1478995200,3.65,3.94,3.77,3.9,3254.2436655000006
1478908800,3.72,3.85,3.85,3.76,2330.771913860001
1478822400,3.79,3.86,3.84,3.85,192.26293400999995
1478736000,3.79,3.94,3.85,3.8,297.62429801000053
1478649600,3.77,3.99,3.84,3.98,2068.2584390599986
1478563200,3.84,3.91,3.88,3.84,477.4740702300003
1478476800,3.83,3.92,3.9,3.88,517.6492853600004
1478390400,3.85,3.93,3.86,3.91,69.79245959
1478304000,3.86,3.94,3.88,3.87,130.57464399999992
1478217600,3.77,3.98,3.9,3.89,2564.4647607799984
1478131200,3.8,4.34,4.15,3.82,5359.293031589997
1478044800,3.99,4.35,4.12,4.19,1363.33025269
1477958400,3.92,4.5,3.98,4.12,2693.4322350299954
1477872000,3.92,4.07,3.92,3.98,275.9505419999999
1477785600,3.92,4.25,4.06,3.95,770.2806924900005
1477699200,3.92,4.24,4,4.06,1274.2013813299986
1477612800,3.88,4.02,4.02,4.01,625.6650203500034
1477526400,3.9,4.14,3.96,4.02,1390.5479021999993
1477440000,3.76,3.96,3.87,3.96,2443.316314630001
1477353600,3.8,3.88,3.87,3.85,1203.9611232500004
1477267200,3.82,3.89,3.88,3.88,472.6811134999998
1477180800,3.7,3.89,3.84,3.88,1305.1799794299993
1477094400,3.75,3.88,3.79,3.84,1059.4752649200016
1477008000,3.75,3.81,3.8,3.8,604.7093033599996
1476921600,3.78,3.81,3.79,3.8,260.07165588000004
1476835200,3.79,3.87,3.84,3.79,1136.55844688
1476748800,3.8,3.91,3.84,3.9,699.2055231900001
1476662400,3.82,3.94,3.86,3.9,282.1488600500001
1476576000,3.86,3.94,3.94,3.88,15.093514
1476489600,3.83,3.94,3.89,3.93,95.75428028999988
1476403200,3.82,3.92,3.83,3.82,41.214549180000155
1476316800,3.8,3.93,3.8,3.83,2328.768864469998
1476230400,3.79,3.83,3.83,3.8,361.4916612600003
