time,low,high,open,close,volume
1514442600,694.39,694.6,694.39,694.6,122.48137269000003
1514442300,691.4,694.42,691.4,694.42,285.9776806699999
1514442000,690.28,697.21,697.21,691.4,522.5592994000002
1514441700,693.5,698.23,693.62,697.21,872.7393542100001
1514441400,690.01,695.99,690.01,693.62,488.4590871800001
1514441100,687.45,693.85,692.77,690.01,1006.79592131
1514440800,688.58,694.92,690.85,692.77,768.87084633
1514440500,685.21,693.18,693.18,692.02,1150.2650207300003
1514440200,690.72,696.98,690.73,693.19,547.18905187
1514439900,687.5,693.13,690.53,689.17,1273.4297415800002
1514439600,687.5,700.83,699.41,690.53,1796.220982129999
1514439300,697.87,701.87,698.58,699.69,612.5352083099998
1514439000,696.86,707.22,700.97,698.57,1251.8636695500002
1514438700,696.5,701.34,700.83,700.72,914.7148779099999
1514438400,691.1,701.73,695,698.73,1397.7384242099995
1514438100,695,700.51,700.51,695,1145.2614245399989
1514437800,700.5,703.01,702.52,700.5,942.8703330200002
1514437500,702,708.24,707.8,702.52,542.58071518
1514437200,707.3,709.98,709.49,707.5,363.2291049
1514436900,707.23,710.22,708,709.99,477.82823705
1514436600,708,712.08,712.02,708.01,587.70418836
1514436300,708.99,717,716.99,712.02,499.0069494799998
1514436000,715.01,717,717,716.99,289.98185639
1514435700,713.9,719.5,719,717,452.5355351800001
1514435400,713.99,719,713.99,719,881.9381974199999
1514435100,707.63,714.91,714.91,713.99,838.71130328
1514434800,709,714.91,712.84,714.91,536.77651789
1514434500,708.27,714.91,708.27,710.99,926.0650007800002
1514434200,701.99,709.17,702,708.25,809.78253791
1514433900,700.01,705.96,705.96,702,852.7560477699998
1514433600,703.99,710,708.9,705.97,737.6298409800002
1514433300,705,710,706.9,709.71,745.0441901699999
1514433000,702.74,707,706.41,706.9,595.0596847300001
1514432700,701.61,709,704,706.41,1059.2510991
1514432400,693,706.98,693,703.99,1673.9509413399996
1514432100,693,702.39,702.39,693,1918.9642544299998
1514431800,696.73,710.35,701.11,702.38,2401.880290799999
1514431500,700.88,714,710,701.05,1476.1300277599996
1514431200,709.9,714.99,711,710,1312.0811543500004
1514430900,708,713.88,710,711,2120.665689219998
1514430600,699.6,710.01,699.61,710.01,2015.6172572299986
1514430300,693.08,704.42,702.64,699.61,1735.3570216499998
1514430000,695.23,705.03,695.24,704.64,1495.9625059599998
1514429700,688.65,708.92,688.66,695.23,3418.628044379996
1514429400,680,707.2,701.1,688.65,7770.127661500004
1514429100,701.01,711.28,711.01,701.11,3094.098944219999
1514428800,711,723,723,711,2186.582376689998
1514428500,723,729.99,729.99,723.01,819.374400419999
1514428200,729.99,733,733,729.99,216.10038994
1514427900,730,733.5,730,732.99,400.95272376000014
1514427600,729.88,730,729.88,730,225.63621545
1514427300,729.5,734.57,734.57,729.89,848.6805091800001
1514427000,734.56,738,738,734.56,233.62235337
1514426700,736.89,739.49,739.49,737.99,564.3709008
1514426400,733.03,739.5,734.26,739.49,1358.0006477099996
1514426100,733.56,734.26,733.56,734.26,555.88327632
1514425800,733,733.8,733.01,733.56,223.0101853
1514425500,729.99,733.49,730,733.01,449.1805783
1514425200,729.99,734.26,734.26,730,2114.0852886000002
1514424900,733.98,734.26,733.99,734.25,387.73815643
1514424600,732.17,733.99,733.01,733.99,459.0611740300001
1514424300,729.99,734.2,734.13,733.01,1802.4910463099986
1514424000,729.99,734.14,731.58,734.13,673.6668808400002
1514423700,729.99,735,733.92,731.58,1981.687218789998
1514423400,731.99,735.94,735.94,733.92,298.9884688699999
1514423100,733.36,736.57,735.37,735.94,367.8615541399999
1514422800,734.01,737.01,737.01,735.38,209.30628432999998
1514422500,729.99,737.09,729.99,737,498.6665287600001
1514422200,728.72,731.74,731.74,730,424.55949228
1514421900,729.2,737.51,737.5,731.97,1215.99832756
1514421600,735.67,738.99,735.68,737.51,480.95140317000005
1514421300,733.83,735.69,735.68,735.67,329.62168083000006
1514421000,730.83,735.86,735.82,735.68,549.3792186899999
1514420700,735.81,739.85,739.84,735.81,749.6405530800002
1514420400,739.32,739.9,739.81,739.84,232.08448462999996
1514420100,739.8,740,740,739.96,290.95177974
1514419800,739.99,742.31,741.47,740,347.74032297
1514419500,740.39,741.51,741.51,741.49,271.95338716000003
1514419200,739.99,741.72,740,741.51,275.8335653100001
1514418900,739.11,740.99,740.99,739.99,175.54092969000004
1514418600,738.5,742.5,742.02,741,353.6246958300002
1514418300,741.51,743.78,743.36,742.02,327.60668994
1514418000,742.85,743.94,742.85,743.36,345.73034084999995
1514417700,740.4,743,741.5,742.86,509.2742192400001
1514417400,739.99,742.5,740,741.51,1010.5100454799999
1514417100,739.03,740,739.03,739.99,344.66586134000005
1514416800,737.01,739.03,738.16,739.03,281.30237569
1514416500,738.15,739,739,738.16,251.55632879000012
1514416200,738.16,739,738.16,738.98,253.26440373000003
1514415900,738,738.89,738.13,738.17,229.66971837
1514415600,737.21,738.98,737.59,738.13,387.2499369600001
1514415300,736.99,738.79,737.99,737.59,411.86272883999993
1514415000,736.22,738,736.22,738,241.94352597000002
1514414700,735.63,736.25,735.63,736.18,211.68246319999997
1514414400,734.01,736.4,736.4,736,439.7125378500001
1514414100,735.42,737,736,736.4,326.18163592999997
1514413800,732,736,733.11,736,702.2345948199998
1514413500,732.62,734.91,733.4,733.99,396.59750866999997
1514413200,730.47,733.4,731.74,733.4,419.02632434
1514412900,728.28,732,728.76,730.91,772.2303316400003
1514412600,726.82,729.94,729.22,728.79,432.6656145100002
1514412300,726.45,731.89,731.56,729.22,226.30856806000003
1514412000,726.88,732.3,731.81,731.87,351.2469671399999
1514411700,731.18,732.28,732.28,731.8,175.24386622
1514411400,727.51,732.32,731.72,732.27,314.15088937
1514411100,729.13,733,729.13,731.83,354.07712194
1514410800,728.93,733.63,733.52,728.94,334.17168555
1514410500,732.8,734,733.86,733.51,253.71324145999998
1514410200,733.02,734.23,734.01,734,253.27235023999998
1514409900,731.25,734.99,734.92,734.05,420.8388814
1514409600,730.52,734.92,730.54,734.91,724.5881530300001
1514409300,729.52,732.88,732.36,730.53,398.7301384
1514409000,728.5,734.91,730,732.36,758.0494979300001
1514408700,721.98,730,721.98,730,1010.0423986499998
1514408400,720,724.8,724.8,721.99,349.63438677
1514408100,722,727.91,723.57,724.8,434.82603381
1514407800,722.28,724.9,724.62,723.27,265.40838248000006
1514407500,720.25,724.77,720.47,724.62,487.83708101
1514407200,718.36,723.23,718.36,720.47,634.00499727
1514406900,715,720,715.01,718.36,476.49994926000005
1514406600,714,722.82,722.82,715,1440.6739275899997
1514406300,721,728.99,727.94,722.82,487.8703072300001
1514406000,723.25,728,724.25,727.85,418.33927186000005
1514405700,720.46,725,722.84,724.25,335.15939357
1514405400,722,726.49,724.68,722.27,650.5076642100001
1514405100,722.3,728,727.2,722.49,505.5611125800001
1514404800,723.65,728,723.66,727.2,541.2605245
1514404500,720,724.47,722.05,723.66,1156.4560358200001
1514404200,722,728.99,728.93,722.05,869.39587947
1514403900,728.92,733,733,728.93,341.68063155999994
1514403600,732.99,737.41,736.01,732.99,419.12777472999994
1514403300,732.45,736.67,732.45,736.02,637.5515418400001
1514403000,730.22,739,738.88,732.45,792.4990808800006
1514402700,736,739.61,739.6,738.99,403.04842365
1514402400,738.64,739.8,738.65,739.6,432.18102479000004
1514402100,738.45,739.47,739.47,738.65,267.88612428
1514401800,735.74,739.47,735.75,739.46,456.50909507999995
1514401500,734,737.76,735,735.75,598.87912381
1514401200,730.64,735,730.64,735,341.68925448999994
1514400900,728.54,731.96,731.96,730.65,347.38789159
1514400600,731.53,732,731.6,731.96,305.1745056699999
1514400300,730.01,733.37,733.37,732.46,356.83560351000006
1514400000,726,735,726,733.37,1002.1461616699996
1514399700,722,726,723.64,726,355.3007304499999
1514399400,722.98,726.97,726.97,723.64,646.2849640500001
1514399100,723.06,734.01,734.01,726.97,1497.9097424199995
1514398800,734,734.9,734.9,734.01,408.55182494000013
1514398500,732.61,734.9,733.18,734.9,1053.28305947
1514398200,728.43,734.89,731,734.4,3014.397485439999
1514397900,727,731,727.01,731,1644.4235199299997
1514397600,722.41,727.4,726.23,727.01,1350.40188149
1514397300,726.22,728,726.9,726.32,804.51853599
1514397000,725.39,726.9,725.4,726.9,359.30989883999996
1514396700,720.49,726.41,720.5,725.39,667.0200443399999
1514396400,720,726.5,726,720.5,738.66968365
1514396100,724.59,728.53,724.88,726,899.85594018
1514395800,721,727.01,727.01,724.89,820.83813298
1514395500,719.79,728.16,719.8,727.01,2772.71743082
1514395200,716.49,719.8,716.49,719.8,572.8295547399999
1514394900,714.28,718.98,716.02,716.5,813.49029512
1514394600,711.93,719.99,711.93,717.01,940.66168114
1514394300,706,719.99,712.23,711.94,2142.343181099999
1514394000,708.3,715.73,715.72,711.93,2041.559771209999
1514393700,715,718.03,718.03,715.73,1456.91554925
1514393400,718.02,720,720,718.45,675.7148784600001
1514393100,717.8,720,720,720,566.8128347699999
1514392800,716.56,720,716.56,720,1006.7699718300004
1514392500,716.56,728.73,726.02,719,3041.532968749999
1514392200,726.02,736.07,736.02,726.02,1372.5092577900007
1514391900,736.02,740.69,740.04,736.51,393.59925970999996
1514391600,738.99,740.55,740.55,740.04,490.4601694600001
1514391300,740.2,741.99,741.97,740.55,271.49942744
1514391000,740.97,741.99,740.97,741.99,368.88627807999995
1514390700,740.13,742.35,742.32,740.97,534.7291430299999
1514390400,739.2,742.33,739.25,742.33,551.7414357
1514390100,738.5,739.98,739.38,739.2,321.0124694
1514389800,738.26,739.98,738.68,739.5,390.75602025999996
1514389500,733.59,739,736.51,739,442.47608247
1514389200,736.5,738.72,737.7,736.5,297.49617395
1514388900,737,741.32,741.32,737.69,447.95724039000015
1514388600,736.51,742.38,742.38,741.32,502.3178344000001
1514388300,735.26,744.01,735.26,742.37,964.8709518499999
1514388000,732.79,735.7,732.8,735.26,838.1921281099999
1514387700,731.28,732.8,731.29,732.8,1182.1554320600003
1514387400,730,731.98,730,731.29,344.93563658999994
1514387100,727,732.4,728.48,730,835.1530925500001
1514386800,727.36,736.85,736.85,728.46,1315.18705576
1514386500,731,738.89,738.89,736,2229.2430785799975
1514386200,738.88,741.84,741.84,738.89,624.4295293999999
1514385900,739.16,745.11,745.11,741.84,1740.0731767500006
1514385600,745.1,747.34,747.34,745.11,281.57815688
1514385300,746.3,754.01,754.01,746.3,680.1171324999998
1514385000,754,755.39,755.39,754.01,200.06222515
1514384700,755.4,755.42,755.42,755.4,254.23058754
1514384400,755.41,756.38,756.37,755.42,167.30676206
1514384100,754.02,756.8,754.02,756.12,238.9055301
1514383800,754.01,755.01,755.01,754.01,253.75620530000003
1514383500,755,757.7,757.69,755.01,305.8125119399999
1514383200,756.99,757.77,757.14,757.7,263.4267108599999
1514382900,754.11,757.77,756.96,757.15,553.1674942699997
1514382600,756.72,756.97,756.73,756.96,275.9933722300001
1514382300,754.1,756.97,754.1,756.72,254.85005539000002
1514382000,754.06,754.1,754.07,754.1,222.82340103
1514381700,754,754.82,754,754.07,246.3285770600001
1514381400,753.01,754.82,753.58,754,234.06696605000008
1514381100,752.25,754.48,752.26,753.58,207.47463709
1514380800,750.88,752.5,751.01,752.26,276.93244992
1514380500,751,754.87,752.67,751.01,208.68953721000005
1514380200,750.88,754,752.92,752.67,281.1014561300002
1514379900,752.21,757.42,757.08,752.85,258.29147581
1514379600,756.99,757.65,757.64,757.08,136.97952826
1514379300,756.01,757.64,756.63,757.64,119.05834229999999
1514379000,756.24,756.99,756.68,756.63,117.35857354999999
1514378700,755.71,756.68,755.71,756.68,174.36394919000003
1514378400,754.5,756.67,755.27,755.71,165.58131885
1514378100,755.25,756.68,756.68,755.27,174.76904636999998
1514377800,755.26,756.68,755.27,756.68,169.36990763
1514377500,754.99,756.61,755.1,755.26,144.64293501000003
1514377200,754.99,756.68,755,755.1,343.35106076
1514376900,754.99,755,755,754.99,129.58208814
1514376600,752.99,755,753,755,225.23831033000002
1514376300,752.2,753,752.21,753,248.02051860999995
1514376000,751.24,752.21,751.25,752.21,358.2248435700001
1514375700,748.78,752.5,752.35,751.25,387.16947408
1514375400,751.24,752.6,751.99,752.36,148.34761547
1514375100,750,751.99,750,751.99,132.26246916999997
1514374800,749.4,750,749.4,750,192.42444762
1514374500,748.69,749.44,748.7,749.4,119.09345229000002
1514374200,747.11,749.45,747.11,748.7,177.34484818999994
1514373900,747.1,749,748.99,747.12,305.31854852000004
1514373600,748.2,749,748.2,748.99,129.14396604
1514373300,748.12,748.2,748.12,748.2,85.61930691
1514373000,747.99,749.49,749.49,748.11,211.65891633000004
1514372700,749.49,751.02,751.01,749.5,145.09561781000002
1514372400,744.41,752.01,744.41,751.02,261.35263803000004
1514372100,742.95,744.46,742.95,744.46,262.37355388
1514371800,742.84,742.97,742.96,742.94,90.12636524999999
1514371500,742.96,744.54,743.9,742.96,222.26885693999998
1514371200,742.01,744,742.01,743.89,424.9873525700001
1514370900,741.35,742.5,741.35,742,478.03365330000025
1514370600,741.35,743.76,743.76,741.36,584.7491324200003
1514370300,743.76,747.19,747.19,743.77,718.3960590099996
1514370000,747.18,752.99,752.99,747.18,775.0696909799995
1514369700,752.88,753.7,753.69,753,189.42220232999992
1514369400,753,755,754.59,753.83,260.81901286999994
1514369100,753.99,754.6,753.99,754.59,150.49113221999997
1514368800,753.76,754,753.77,753.99,250.32914121999994
1514368500,753.5,754.57,753.5,753.77,161.35469414000002
1514368200,753,753.51,753.5,753.51,358.5003226399998
1514367900,753.5,754.95,754.95,753.5,1034.1025220700005
1514367600,753.8,759.23,758.48,753.8,794.4189923799997
1514367300,757.77,759.51,759.51,759.2,415.80469266
1514367000,759.5,760.94,760.06,759.5,314.92062998000006
1514366700,760.04,764.52,764.52,760.04,263.4520942799999
1514366400,763.92,764.54,763.92,764.52,175.11660067999998
1514366100,763.54,764,763.55,763.91,212.50876249999996
1514365800,763.54,763.55,763.54,763.55,90.14620851999999
1514365500,763.5,765.03,764.51,763.53,269.70300899
1514365200,764,765,764.01,764.51,120.06460487999999
1514364900,764,765.89,765.8,764.01,220.70653416
1514364600,764.11,766.34,764.11,765.8,207.91313226000005
1514364300,764.09,764.11,764.1,764.11,217.62079344999998
1514364000,763.53,764.1,763.54,764.1,147.40040473999997
1514363700,762.5,763.61,762.51,763.54,116.77406168000002
1514363400,762.5,762.51,762.5,762.5,207.29493872
1514363100,762.5,762.51,762.51,762.51,127.56818102
1514362800,762.5,762.51,762.51,762.51,129.19349668999996
1514362500,762.5,763.43,763.43,762.51,252.35861368000002
1514362200,763.41,765.4,765.39,763.43,217.15284063
1514361900,765.39,766.98,766.97,765.39,520.2424969399999
1514361600,766.97,766.98,766.98,766.98,104.55466109
1514361300,765.99,767,765.99,766.98,171.80501435999997
1514361000,765.43,766,765.43,765.99,134.56858375000002
1514360700,765.41,765.43,765.41,765.43,133.03784746000002
1514360400,765.41,765.42,765.41,765.42,88.95224601999999
1514360100,765.4,765.42,765.41,765.42,277.41525214
1514359800,765.41,766,765.42,765.42,218.27225561000003
1514359500,764.99,765.42,765,765.42,300.39369096
1514359200,764.97,765,764.98,765,76.52315833
1514358900,764.06,764.99,764.78,764.98,212.38054712000007
1514358600,764.78,765,764.96,764.78,207.76194607
1514358300,764.69,764.98,764.69,764.96,111.56133716000002
1514358000,764.11,764.94,764.12,764.7,174.90004642000002
1514357700,763.44,764.14,764.14,764.12,416.2784597600001
1514357400,764.13,765,764.99,764.14,401.8790949799998
1514357100,764.87,765,764.88,764.99,287.82073717000003
1514356800,763.86,764.88,763.86,764.88,266.6442862200001
1514356500,763.84,763.85,763.85,763.85,107.94904245000001
1514356200,763.84,763.98,763.84,763.85,236.84839142999996
1514355900,763.3,763.86,763.3,763.85,139.75386393000002
1514355600,762.94,763.3,762.95,763.3,193.05964206000002
1514355300,762.94,762.95,762.95,762.95,172.58340844000003
1514355000,761.82,762.95,761.82,762.95,298.87610541000004
