timestamp,open,high,low,close,volume
2018-04-13,5.4200,5.5000,5.2300,5.2600,5523705
2018-04-12,4.8900,5.3000,4.8800,5.2200,8268375
2018-04-11,4.7100,4.9400,4.7100,4.8700,1875148
2018-04-10,4.7600,4.8500,4.7200,4.7600,1971169
2018-04-09,4.8800,4.9100,4.6600,4.7100,2631853
2018-04-06,4.8900,5.0500,4.8400,4.8800,1829237
2018-04-05,4.8000,4.9400,4.7300,4.9100,1420933
2018-04-04,4.4800,4.8300,4.4200,4.7800,3320775
2018-04-03,4.5300,4.6600,4.4650,4.5400,3289620
2018-04-02,4.7200,4.7800,4.4500,4.5300,4035630
2018-03-29,4.8400,4.8900,4.6700,4.7900,1843659
2018-03-28,4.9300,4.9800,4.7600,4.8400,2442347
2018-03-27,4.7600,5.0900,4.7500,4.9100,5114677
2018-03-26,4.6700,4.7700,4.5600,4.7300,3615675
2018-03-23,4.7400,4.7800,4.5600,4.5800,3885955
2018-03-22,4.8800,4.9172,4.7550,4.7800,3191361
2018-03-21,4.9800,5.0600,4.8700,4.9200,2778697
2018-03-20,5.3600,5.3700,4.9200,5.0000,5033471
2018-03-19,5.5400,5.5500,5.3200,5.3300,2811783
2018-03-16,5.6000,5.6300,5.5300,5.5400,2189206
2018-03-15,5.6000,5.6900,5.5900,5.6200,1528338
2018-03-14,5.6700,5.6800,5.5925,5.6100,1148236
2018-03-13,5.6300,5.7200,5.6000,5.6300,1665976
2018-03-12,5.5100,5.6400,5.5050,5.6300,2443067
2018-03-09,5.6700,5.6800,5.4200,5.5100,3245076
2018-03-08,5.8100,5.8450,5.7100,5.7400,1314485
2018-03-07,5.8100,5.8800,5.6900,5.7900,1858095
2018-03-06,5.7200,5.8800,5.7000,5.8300,2386543
2018-03-05,5.5100,5.7500,5.4867,5.7300,2951756
2018-03-02,5.3500,5.6100,5.3500,5.5600,3000031
2018-03-01,5.3600,5.4800,5.3200,5.4200,2776636
2018-02-28,5.4500,5.5000,5.3600,5.3800,1780233
2018-02-27,5.6300,5.7100,5.3700,5.4600,3716825
2018-02-26,5.6000,5.7300,5.5900,5.6500,2018789
2018-02-23,5.4600,5.6000,5.4600,5.5900,1556769
2018-02-22,5.5500,5.5810,5.3900,5.4600,1977766
2018-02-21,5.5900,5.6500,5.5400,5.5500,1687962
2018-02-20,5.4500,5.6200,5.4500,5.5700,2769073
2018-02-16,5.6000,5.7190,5.4750,5.4900,3643552
2018-02-15,5.7100,5.7700,5.5800,5.6200,1876610
2018-02-14,5.3000,5.7700,5.2700,5.6700,4999758
2018-02-13,5.2000,5.4200,5.2000,5.2900,2410256
2018-02-12,5.5000,5.5000,5.2200,5.2600,4098266
2018-02-09,5.6100,5.6500,5.2500,5.4600,4253512
2018-02-08,5.6000,5.7300,5.5500,5.5800,3022854
2018-02-07,5.6200,5.6800,5.5300,5.6100,3602261
2018-02-06,5.4000,5.7000,5.4000,5.6300,4564432
2018-02-05,5.5600,5.7300,5.3800,5.5200,5358894
2018-02-02,5.2700,5.7500,5.1300,5.5500,8651891
2018-02-01,5.4300,5.5300,5.3600,5.5000,3623216
2018-01-31,5.5600,5.6300,5.3800,5.4700,2986893
2018-01-30,5.2400,5.5700,5.2400,5.4700,5355897
2018-01-29,5.6100,5.6500,5.2900,5.3200,8703690
2018-01-26,5.9600,5.9862,5.6100,5.6500,7870412
2018-01-25,6.1500,6.1500,5.9400,5.9600,4375801
2018-01-24,6.0700,6.2200,5.9300,6.1000,4441879
2018-01-23,5.8900,6.1700,5.8500,6.1200,6589534
2018-01-22,6.2200,6.3000,6.2000,6.3000,1902051
2018-01-19,6.2400,6.3300,6.2300,6.2900,3000380
2018-01-18,6.2500,6.3900,6.1950,6.2700,2618256
2018-01-17,6.4000,6.6050,6.2600,6.3400,5582663
2018-01-16,6.2100,6.4600,6.1600,6.3600,7055771
2018-01-12,6.1300,6.2700,6.0400,6.2300,5148029
2018-01-11,6.0000,6.2600,5.9600,6.1500,5255251
